wwtp,part.class,bin,count,level,bin_left,bin_right,bin_mid
west,1,15,1978,Pipe,0.75,0.8,0.775
west,1,9,3146,Pipe,0.45,0.5,0.47500000000000003
west,1,13,2788,Pipe,0.65,0.7000000000000001,0.675
west,1,17,2710,Pipe,0.8500000000000001,0.9,0.875
west,6,10,1188,Pipe,0.5,0.55,0.525
west,1,6,3495,Pipe,0.30000000000000004,0.35000000000000003,0.325
west,5,17,3762,Pipe,0.8500000000000001,0.9,0.875
west,1,14,2513,Pipe,0.7000000000000001,0.75,0.7250000000000001
west,1,11,2809,Pipe,0.55,0.6000000000000001,0.5750000000000001
west,5,11,2382,Pipe,0.55,0.6000000000000001,0.5750000000000001
west,1,12,2730,Pipe,0.6000000000000001,0.65,0.625
west,3,8,2058,Pipe,0.4,0.45,0.42500000000000004
west,7,10,816,Pipe,0.5,0.55,0.525
west,1,10,3094,Pipe,0.5,0.55,0.525
west,2,15,4058,Pipe,0.75,0.8,0.775
west,2,11,2813,Pipe,0.55,0.6000000000000001,0.5750000000000001
west,5,8,1939,Pipe,0.4,0.45,0.42500000000000004
west,8,11,731,Pipe,0.55,0.6000000000000001,0.5750000000000001
north,1,12,13576,Pipe,0.6000000000000001,0.65,0.625
north,1,19,12549,Pipe,0.9500000000000001,1,0.9750000000000001
north,1,15,10130,Pipe,0.75,0.8,0.775
north,1,17,7412,Pipe,0.8500000000000001,0.9,0.875
north,1,14,11840,Pipe,0.7000000000000001,0.75,0.7250000000000001
north,8,10,6819,Pipe,0.5,0.55,0.525
north,8,6,4588,Pipe,0.30000000000000004,0.35000000000000003,0.325
south,7,6,1208,Pipe,0.30000000000000004,0.35000000000000003,0.325
south,2,12,3297,Pipe,0.6000000000000001,0.65,0.625
south,4,16,6572,Pipe,0.8,0.8500000000000001,0.8250000000000001
south,2,15,4306,Pipe,0.75,0.8,0.775
south,1,13,2343,Pipe,0.65,0.7000000000000001,0.675
south,1,14,1925,Pipe,0.7000000000000001,0.75,0.7250000000000001
south,4,7,3625,Pipe,0.35000000000000003,0.4,0.375
south,5,13,5469,Pipe,0.65,0.7000000000000001,0.675
south,8,10,819,Pipe,0.5,0.55,0.525
south,8,17,3193,Pipe,0.8500000000000001,0.9,0.875
south,2,14,3950,Pipe,0.7000000000000001,0.75,0.7250000000000001
south,2,4,4513,Pipe,0.2,0.25,0.225
south,3,8,4077,Pipe,0.4,0.45,0.42500000000000004
south,8,14,1875,Pipe,0.7000000000000001,0.75,0.7250000000000001
south,3,13,3643,Pipe,0.65,0.7000000000000001,0.675
south,1,7,3156,Pipe,0.35000000000000003,0.4,0.375
south,2,10,3379,Pipe,0.5,0.55,0.525
south,2,16,4826,Pipe,0.8,0.8500000000000001,0.8250000000000001
south,4,6,3719,Pipe,0.30000000000000004,0.35000000000000003,0.325
south,8,5,1284,Pipe,0.25,0.30000000000000004,0.275
south,6,5,3066,Pipe,0.25,0.30000000000000004,0.275
south,7,4,1431,Pipe,0.2,0.25,0.225
south,6,15,4810,Pipe,0.75,0.8,0.775
south,1,5,3724,Pipe,0.25,0.30000000000000004,0.275
south,1,19,5751,Pipe,0.9500000000000001,1,0.9750000000000001
