simulation,location,sample_fraction,effective_surveillance_coverage_percent
16,West,Liquid,37.01130892571005
17,North,Total,78.38647395445157
17,North,Solids,37.58623356996621
17,North,Liquid,45.5593384150761
17,South,Total,87.8588961530983
17,South,Solids,44.18648756332046
17,South,Liquid,45.90943955746782
17,West,Total,82.92965028874194
17,West,Solids,40.79421201819411
17,West,Liquid,45.621163905175024
18,North,Total,81.83058137976069
18,North,Solids,40.739572962742834
18,North,Liquid,42.79867312648854
18,South,Total,89.22098161593088
18,South,Solids,46.841272030424534
18,South,Liquid,43.18622765208925
18,West,Total,85.2693417480781
18,West,Solids,43.58614586148483
18,West,Liquid,42.96831195059909
19,North,Total,77.4084691706492
19,North,Solids,39.38538743160841
19,North,Liquid,41.27145821272883
19,South,Total,86.6310122929263
19,South,Solids,46.275812864008124
19,South,Liquid,41.81060651883474
19,West,Total,81.80949444961009
19,West,Solids,42.639453963260046
19,West,Liquid,41.59659255851656
20,North,Total,75.929464291171
20,North,Solids,35.42300346014738
20,North,Liquid,43.84889455457638
20,South,Total,85.56410331288856
20,South,Solids,41.832978515483326
20,South,Liquid,44.79543233316904
20,West,Total,80.82728935048064
20,West,Solids,38.542336105686566
20,West,Liquid,44.66571675728851
21,North,Total,79.11674675964127
21,North,Solids,33.048111265320024
21,North,Liquid,50.90261866383601
21,South,Total,87.46747829380914
21,South,Solids,38.14559711722417
21,South,Liquid,51.53024556109935
21,West,Total,83.19208696488047
21,West,Solids,35.50840182473804
21,West,Liquid,51.28968959064403
22,North,Total,80.29505785129464
22,North,Solids,37.27929006283336
22,North,Liquid,45.41814225014807
22,South,Total,88.70028833393184
22,South,Solids,44.120668414538706
22,South,Liquid,45.73865264890809
22,West,Total,84.35498576722055
22,West,Solids,40.665530035374324
22,West,Liquid,45.449717570672846
23,North,Total,81.85264680907648
23,North,Solids,28.773793629425914
23,North,Liquid,53.64360255500487
23,South,Total,88.2103407055391
23,South,Solids,33.86810152299756
23,South,Liquid,54.56001849164501
23,West,Total,85.12552725053165
23,West,Solids,31.230663200208607
23,West,Liquid,54.303635994697075
24,North,Total,79.49467062731253
24,North,Solids,42.92793323751954
24,North,Liquid,39.51573144948999
24,South,Total,88.26166472519856
24,South,Solids,49.895259709586995
24,South,Liquid,39.79969568723987
24,West,Total,83.6023407812992
24,West,Solids,46.23391832931095
24,West,Liquid,39.57301650684232
25,North,Total,84.39789349487341
25,North,Solids,40.502927794600225
25,North,Liquid,41.88526887342044
25,South,Total,90.75715874625399
25,South,Solids,47.61410975736046
25,South,Liquid,42.129509945849684
25,West,Total,87.3874116790127
25,West,Solids,43.936173139930325
25,West,Liquid,41.93535309153774
26,North,Total,77.59261904689627
26,North,Solids,38.38217075524025
26,North,Liquid,40.15619486838795
26,South,Total,85.59120101199682
26,South,Solids,44.25148746192748
26,South,Liquid,41.327908421436135
26,West,Total,81.8346800985148
26,West,Solids,41.1940496854824
26,West,Liquid,41.24452511100279
