simulation,location,sample_fraction,minimum_detectable_prevalence_percent
12,West,Solids,0.1234944213271632
12,West,Liquid,0.12027386876700161
13,North,Total,0.07151041415914428
13,North,Solids,0.133668909853478
13,North,Liquid,0.15444312337804822
13,South,Total,0.06363310976573427
13,South,Solids,0.11177149434492457
13,South,Liquid,0.1481567086059651
13,West,Total,0.06314134380253293
13,West,Solids,0.1137590547747918
13,West,Liquid,0.14224963509735053
14,North,Total,0.06781514413824034
14,North,Solids,0.127702664121881
14,North,Liquid,0.14930173093790602
14,South,Total,0.06131772129079208
14,South,Solids,0.10659536255258574
14,South,Liquid,0.146256805694456
14,West,Total,0.061360029664601
14,West,Solids,0.10884452668959192
14,West,Liquid,0.14357081470768648
15,North,Total,0.06874121986203727
15,North,Solids,0.12926669481295505
15,North,Liquid,0.13452657526277673
15,South,Total,0.06109954242360374
15,South,Solids,0.10956252005696217
15,South,Liquid,0.1330381070612372
15,West,Total,0.061650406545055624
15,West,Solids,0.11158968199860611
15,West,Liquid,0.1318643436756725
16,North,Total,0.07261083875469283
16,North,Solids,0.12914102681971296
16,North,Liquid,0.1473470063521911
16,South,Total,0.06277204922627838
16,South,Solids,0.10655789136630603
16,South,Liquid,0.14529269802006883
16,West,Total,0.06342704020141177
16,West,Solids,0.10867463589974277
16,West,Liquid,0.14362769466304748
17,North,Total,0.07097730615036575
17,North,Solids,0.15073174870531675
17,North,Liquid,0.11916885127693387
17,South,Total,0.06185283479524828
17,South,Solids,0.12353875552216853
17,South,Liquid,0.11783089188408766
17,West,Total,0.06262429942294548
17,West,Solids,0.12660803599154966
17,West,Liquid,0.11679540477579128
18,North,Total,0.06759953575996686
18,North,Solids,0.13857340066646534
18,North,Liquid,0.12698152641374422
18,South,Total,0.06081832646979465
18,South,Solids,0.11636973597927372
18,South,Liquid,0.1253279346376411
18,West,Total,0.06115243279996925
18,West,Solids,0.11871377770248978
18,West,Liquid,0.12389785936387371
19,North,Total,0.07222852155398964
19,North,Solids,0.14488095559323216
19,North,Liquid,0.1321186920688717
19,South,Total,0.06278440899683074
19,South,Solids,0.11805612155508154
19,South,Liquid,0.12964085980450968
19,West,Total,0.06339841402667291
19,West,Solids,0.12116442464190878
19,West,Liquid,0.12739241324717618
20,North,Total,0.07396822307255886
20,North,Solids,0.16137749804719953
20,North,Liquid,0.1253833380030488
20,South,Total,0.06368251621711445
20,South,Solids,0.13067501407311816
20,South,Liquid,0.12146263787007643
20,West,Total,0.06408864887283608
20,West,Solids,0.13411698151107587
20,West,Liquid,0.1176428569741801
21,North,Total,0.07029632393863688
21,North,Solids,0.1710196121720767
21,North,Liquid,0.10705021792519444
21,South,Total,0.06212433215080217
21,South,Solids,0.14296207524225826
21,South,Liquid,0.10516082337564267
21,West,Total,0.0624493168799114
21,West,Solids,0.14558068809311006
21,West,Liquid,0.10342798222651962
22,North,Total,0.06906025181734723
22,North,Solids,0.15301070516492266
22,North,Liquid,0.11948359505960658
22,South,Total,0.06120062380508354
22,South,Solids,0.12389461837588032
22,South,Liquid,0.11824606452166538
22,West,Total,0.06171881727643983
22,West,Solids,0.12703323111355508
22,West,Liquid,0.11731814020578828
23,North,Total,0.06759477771226087
23,North,Solids,0.1979538104439742
23,North,Liquid,0.10202365232456093
23,South,Total,0.06158925344646938
23,South,Solids,0.16135170559312084
23,South,Liquid,0.09951213156975519
23,West,Total,0.06122622270519968
23,West,Solids,0.16538327781026582
23,West,Liquid,0.09716382694001462
24,North,Total,0.0698331398553774
24,North,Solids,0.13157368692168897
24,North,Liquid,0.137339816837939
24,South,Total,0.06150481872480737
24,South,Solids,0.10924765360588015
24,South,Liquid,0.13590148781113956
24,West,Total,0.06219511351528397
24,West,Solids,0.11181469938564702
24,West,Liquid,0.13476877795769
25,North,Total,0.06509761278581797
25,North,Solids,0.13990939971548216
25,North,Liquid,0.12943625282182705
25,South,Total,0.0597143993384831
25,South,Solids,0.11478657977701476
25,South,Liquid,0.12833873362557913
25,West,Total,0.05994256425077932
25,West,Solids,0.11754571377260255
25,West,Liquid,0.12746132524490938
26,North,Total,0.07193130528364462
26,North,Solids,0.1466950087067935
